accountid,amount,closedate,opportunityid,opportunity_creation_date__c,ownerid,primary_application__c,stagename,sales_team__c
0014v00002Qo9lJAAR,300,8/31/2021,0064v00001s8ViHAAU,8/3/2021,0054v00000E6aXFAAZ,Milling & Drilling,Closed Lost,HVS 3
0014v00002STBDkAAP,0,10/31/2021,0064v00001sLqNpAAK,8/13/2021,0054v00000E6aXFAAZ,Conveyors,Closed Lost,HVS 3
0014v00002JiLy6AAF,0,9/30/2021,0064v00001s8Qe1AAE,7/30/2021,0054v00000E7EDFAA3,Workstations,Closed Lost,Strategic Sales
0014v00002STzbHAAT,80000,1/31/2022,0064v00001sLuQiAAK,8/17/2021,0054v00000E76uGAAR,Robot Pedestals & Bases,Closed Lost,HVS 2
0014v00002ST7tgAAD,3000,1/31/2022,0064v00001sLq0RAAS,8/13/2021,0054v00000E5wVdAAJ,Workstations,Closed Lost,HVS 3
0014v00002Kh70DAAR,653.02,9/9/2021,0064v00001sMN9BAAW,9/8/2021,0054v00000E76uLAAR,Other Equipment - Other,Closed Won,HVS 5
0016g00000CWv3dAAD,4461.82,12/14/2021,0064v00001sMNw4AAG,9/9/2021,0054v00000EEeOqAAL,Workstations,Closed Won,HVS 2
0016g00000CWvNvAAL,40000,11/12/2021,0064v00001s8SbRAAU,8/2/2021,0056g000003LOiqAAG,Robotic Tending Cells,Closed Lost,EMEA 1
0016g00000CWvGzAAL,562.49,8/2/2021,0064v00001s8Sq2AAE,8/2/2021,0056g0000049sqgAAA,Other Equipment - Other,Closed Won,Strategic Sales
0014v00002SSdYfAAL,3000,11/30/2021,0064v00001sM1aDAAS,8/23/2021,0056g00000572OUAAY,Robot Pedestals & Bases,Closed Lost,HVS 1
0016g00000P523VAAR,4502.86,9/20/2021,0064v00001sM1j5AAC,8/23/2021,0054v00000E76u6AAB,Inspection & Testing - Automated Testing,Closed Won,HVS 2
0014v00002SV1QkAAL,0,10/31/2021,0064v00001sM3JaAAK,8/24/2021,0056g0000049sqkAAA,Robot Range Extender,Closed Lost,Strategic Sales
0014v00002SVHwtAAH,7000,9/14/2021,0064v00001sM7CkAAK,8/26/2021,0054v00000EEeO8AAL,Industrial Carts,Closed Lost,HVS 4
0016g00000CWuzZAAT,115.09,8/26/2021,0064v00001sM7MxAAK,8/26/2021,0054v00000EEeO8AAL,Other Equipment - Other,Closed Won,HVS 4
